n,user_id,timezone,-,sex,age,height
1,d9874c86e6db7bf4c3959445b0b05a1bb8e60bbf,UTC,-,Male,27,184
2,fe5d7aacd82682e68d94ea1e6aa33a1e858337f7,PDT,-,Female,39,175
3,88359b8e24f4d6b758fb4566860ba9842fc5b350,UTC,-,Male,26,179
4,e061ccf5eece921027f618686a5aa2412d753b6b,PDT,-,Female,27,169
5,2e88aac4e69049d0845a5e2dce661ae8f4f55239,UTC,-,Male,61,177
6,b4e87340761e4c917db734cd52f56ed9abd0b314,UTC,-,Male,48,167
7,fe47edd67278f09ed33be57b5008adbbaf5cb054,UTC,-,Male,48,184
8,5de5c9b6cf14de18385ed689169cd99e6c379ad9,PDT,-,Female,44,166
9,fab1fa81eaf02d1c3bc0731fd5a2f576d1498b01,UTC,-,Male,55,179
10,ff32ef9b713fb27c972e8d1916680dd0ccebf646,UTC,-,Female,27,155
11,1c5ddfde99185d10c666b1e3c95e6559cc00ba3c,PDT,-,Female,28,161
12,23d97494986b76813a441ce44e1d9804b0a68032,UTC,-,Female,65,155
13,23e4462c79b4ed02a8c6c9ec662431c585f63ff8,UTC,-,Male,50,179
14,bec3c582e5fee444f82a057f6acee424f34a06cd,UTC,-,Female,39,167
15,328221ecda99a9fc3c72ae5cf34243df7f2d23c7,UTC,-,Female,28,156
16,93ec1b10677831f79ad43ae6b97ddd0547a4c5ee,UTC,-,Male,54,177
17,18f6a7f626be651bbf20a98e53b4700a9a17c65d,UTC,-,Male,58,192
18,b5cd5af4a8eb352dc23d182f50e6fa3fe6538451,UTC,-,Female,43,173
19,87ffe28e9fc5c2117efef20edb3904872f8a1d68,UTC,-,Female,33,173
20,b10f6064b4e8d90d23d0eb3bf3591d80fb4ee245,UTC,-,Female,30,156
21,35b7ca289ebfaf7c9deb32d84386a9052d13c09c,UTC,-,Male,64,184
22,2233fccb25fcd4c1174143976ff7be14572a8233,UTC,-,Female,45,176
23,e0aa535832d21e60a32e316a3ad9754b56abe87e,UTC,-,Male,59,182
24,13d4ea719df0ff956e76637995c0fb1bec0466e5,PDT,-,Female,41,169
25,834589111f5b5993c186e4ee4dbd3b29a625ea54,UTC,-,Male,61,186
26,9bd63d6933399a5f9a5bf302e968737fa0a56cba,UTC,-,Female,45,151
27,c3146f83a7a67c3a58f9b31415d5f44c5a360dd1,UTC,-,Male,35,197
28,6b0a7365f1421e937814e3d28bca85f35842dedb,UTC,-,Male,44,181
29,b89d092ff19eb2a823a1b7e1ca4cf0b365073624,PDT,-,Female,31,167
30,656dccac4ba07e8d44ea8ed42083665894632c26,UTC,-,Female,23,174
31,16ca21f5aacbb7e4615810046aa4af1fb696c347,UTC,-,Female,49,168
32,69cb4aa4285c05a53a0ebab95b39f4b5eeec0b57,PDT,-,Female,38,172
33,c4b200c4790ad5bfc65dee0a76135f5a3844fb4b,UTC,-,Male,70,179
34,c8433ef444dd4a39ff8fb18bd82469f8ea4aa709,PDT,-,Male,25,169
35,c4078c467fb0826a59f0a3dd6169480626dc88f7,UTC,-,Male,51,172
36,92f62c204a69baaf75b2f769fe4df35a468113e7,UTC,-,Male,30,183
37,2cfdbae96c891606422fdebde451b34f58c241d3,UTC,-,Female,43,173
38,822208e098d84010a323746e76ccf3dccebbc2b0,UTC,-,Male,55,184
39,6f23a5aba01a081514af2026e13d7db8a2790d0b,PDT,-,Male,39,179
40,79dda62d548926e6329c8c62a599116ba863f841,PDT,-,Male,63,179
41,4aa9e707dc42a6621b253ca832c203d91cbe0695,PDT,-,Female,28,159
42,662623dd4065760a29a5aec1a7cc0de636f50f3e,UTC,-,Male,64,178
43,eaf9011b39e86798673c551511c4a3b9659ee27f,UTC,-,Male,31,177
44,655aba42d5a68813a9c7df4cf3ee2d9d49fef71c,UTC,-,Male,27,184
45,8eb9922c73abdebcdd2114c84abec01669023791,PDT,-,Male,65,179
